,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Barlaams ok Josaphats saga-Holm perg 6 fol,Strengleikar-DG 4–7,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Óláfs saga ins helga (legendary version)-DG 8 II,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,0.0,0.5144157256783433,0.5001024352171732,0.4898270984570411,0.7440293004211423,0.8467622559306693,0.5074770380099367,0.5304501250600171,0.5109044336254743,0.5996622202847137,0.34739178204268517,0.7952000098365561,0.5824969073238568,0.5742848545183454,0.6838531820439567,0.5291224116342799,0.5061179220790193,0.3756567885646265,0.6113265003651338,0.7319107120355681,0.781680838825285,0.8492235982476253,0.8344802630562614,0.7171779014705738,0.708693870134033,0.8067887640259642,0.7088500296744829,0.42213268884313593,0.9067984181950168,0.704430502356006,0.7286943629122447,0.6748293641860583,0.5592180227462116,0.5221616488870926,0.5470055962019561,0.9394406482219854,0.6515851201394527,0.5325517055002047,0.7140015468483965,0.6511783402761769,0.4942288699866453,0.4898068187059673,0.5876966692785307,0.5609622793121987
Breta sǫgur-AM 573 4to,0.5144157256783433,0.0,0.5249424504433737,0.565853352010351,0.627511340899105,0.7435752224673189,0.5806853794126682,0.570796499910629,0.5782113678153946,0.5263431325418362,0.47238596941584043,0.7452838444572312,0.5265816884648233,0.5027440452006142,0.621546559003405,0.6536937266753482,0.5221196166482377,0.513066469838062,0.457118377199079,0.6277969732598541,0.722217220275856,0.8001510942024479,0.8121314600025804,0.6298741939190613,0.7067770581404762,0.729592802395556,0.7355312239711727,0.4597555556539975,0.8873963145157263,0.6971434265254256,0.6610720247939449,0.6199807909114017,0.3747286605381922,0.49556357808775586,0.3223576008015515,0.8772827811334561,0.48592186112771885,0.464540087325679,0.6424803266070584,0.5637728063188425,0.47032299853684323,0.6379697086265337,0.6356839321471197,0.6172795529611045
Karls þáttr vesæla-AM 557 4to,0.5001024352171732,0.5249424504433737,1.2212453270876722e-15,0.505966541315666,0.7008878598872348,0.8471168147775391,0.5554373968505599,0.6710539130202235,0.5697168172280698,0.597019934763966,0.40887648558949197,0.6978687323036632,0.5667431497963881,0.5738580848658297,0.7510332130680586,0.7249815625318357,0.5108726185653512,0.4794083390475291,0.5949379254238318,0.7046550946301087,0.7701005821998151,0.8502951652527232,0.8783127089985151,0.7014875530692714,0.6960040008365094,0.7739134984269238,0.7540763795276416,0.567299282665612,0.8874700484818171,0.7585403666040605,0.7235971536822954,0.6646239111412291,0.5952228796175741,0.5402015016978227,0.522966702037011,0.9325403981156699,0.6905646570083351,0.5176708317244652,0.6758707245366347,0.6767115734552452,0.5465400680209498,0.4725164203357274,0.6643164337235471,0.6010699523356029
Hróa þáttr heimska-AM 557 4to,0.4898270984570411,0.565853352010351,0.505966541315666,0.0,0.7244402907130528,0.8608125378970223,0.46384888346215314,0.6475441214873141,0.5495981149068954,0.6463226720194764,0.4546585429928519,0.8371797172700928,0.5975838774168567,0.5707274595687313,0.6725698121805194,0.7737434815895314,0.5722214970590658,0.48790957508051414,0.7285319196509564,0.7165305027182536,0.8135826522271931,0.8980111185557973,0.8262977941696893,0.7341491729314644,0.7413953060250418,0.8104308555127979,0.713844067067348,0.5515111618725869,0.9054095755893994,0.7570516868392786,0.7175665847065587,0.6751404036120934,0.6046933049093454,0.6286015638693137,0.5827459113989708,0.9452666219686067,0.6996258781909634,0.5424128868294765,0.7617857658439956,0.6844797206009654,0.5733899261185396,0.5003562564064943,0.6452218270479828,0.5919640686142649
Old Norwegian Homily Book-AM 619 4to,0.7440293004211423,0.627511340899105,0.7008878598872348,0.7244402907130528,0.0,0.586053163015378,0.7470914273282834,0.8026753951124386,0.7867018419339937,0.7903129344626056,0.7135510895184571,0.856186962598475,0.7741269362462511,0.5372045083210328,0.8262551359915241,0.7840461469005451,0.7673314484709487,0.762975396994054,0.7956341190479801,0.3809343243280241,0.828197279029493,0.8875342218666987,0.8804382374426559,0.7595479932638857,0.7206189284444051,0.7947282452297912,0.8748233764816032,0.7530212292090642,0.7355751826768626,0.8330864771395967,0.40907521078576126,0.7100454341371778,0.7360532727517706,0.7797280398193076,0.6448942811917766,0.9401028276833664,0.6063948446616951,0.7237873684093852,0.8054100472413479,0.5693883633458341,0.7286052983871063,0.7628705922623313,0.8074163444605649,0.7825992742640553
Prosper’s Epigrams-AM 677 4to,0.8467622559306693,0.7435752224673189,0.8471168147775391,0.8608125378970223,0.586053163015378,0.0,0.8211308875089085,0.824270633507301,0.7972816963823914,0.8215237425612936,0.8114280258292885,0.8977883643843696,0.8771777761064172,0.6413541381682493,0.8518786633686365,0.8633310122916471,0.8538706777370728,0.8049666428231577,0.8228773430278538,0.4389289979237997,0.8338966244979361,0.8652662531025331,0.8379049949700251,0.7751907505463821,0.8279296579683264,0.8037163759772055,0.8996785506547695,0.7727401842107844,0.7391153772108926,0.8636068207311527,0.5024537421214155,0.7018069488156882,0.8005666435350094,0.8314130784521078,0.6203508893277225,0.9096536174825566,0.7448303507481618,0.8492733221717228,0.8307467432096725,0.4971097345882014,0.8184782177199451,0.8961434114503221,0.8286184757551456,0.8253096833843183
Pamphilus saga-DG 4-7,0.5074770380099367,0.5806853794126682,0.5554373968505599,0.46384888346215314,0.7470914273282834,0.8211308875089085,8.881784197001252e-16,0.6689137511486709,0.48146431654597077,0.6197573991287243,0.4866674871957072,0.8713440601359961,0.5984560499584399,0.4872279172852009,0.6091045883959629,0.8430569537629744,0.6490023684580914,0.4727361512085694,0.8368568131197992,0.7069063557445872,0.8994528690222454,0.8932768543118165,0.8136395483783683,0.84627173753085,0.7811913118118486,0.8308726582468723,0.7783280843964381,0.5478885245193309,0.9076101372869961,0.7700158299342852,0.6225049237166956,0.608103697988669,0.5768552680382988,0.6684399691250114,0.5580913303263906,0.9528313305421997,0.7220709705580792,0.6052748483472211,0.8003206904402728,0.6472277414404796,0.6127321384916653,0.5646284014265122,0.6247415489077556,0.5329518919601166
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.5304501250600171,0.570796499910629,0.6710539130202235,0.6475441214873141,0.8026753951124386,0.824270633507301,0.6689137511486709,0.0,0.5213541836216339,0.7054259910736409,0.5158784027039764,0.8253819458078153,0.6693310289235416,0.737258217001534,0.6893095178906583,0.6966415963755397,0.5948060577531352,0.39609904204207214,0.6652751055002326,0.6761602238946618,0.7904246832429226,0.8279976554548213,0.8286925385996924,0.7388102390802009,0.8040678391079491,0.8636441125020775,0.6187755122457801,0.383460754609278,0.895930390597609,0.6323123331619831,0.7802040495590113,0.7652117942296461,0.6317013493358835,0.5932411432774742,0.5225932933507977,0.9412251683747807,0.6875391853307098,0.660078150544702,0.754373348015592,0.6035128273464938,0.5083268592913817,0.6840332338340374,0.5300904074144299,0.5563640500937712
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.5109044336254743,0.5782113678153946,0.5697168172280698,0.5495981149068954,0.7867018419339937,0.7972816963823914,0.48146431654597077,0.5213541836216339,0.0,0.6543360982798014,0.47911656353548093,0.8195825644142964,0.6816540766453746,0.6095754696751974,0.7389889226353131,0.7517848801514169,0.6336681118019758,0.42033916248166014,0.7396578718948872,0.6915795291995614,0.8203117582322388,0.8495942125115677,0.8575068519635156,0.7717059376028788,0.7910555622595015,0.8344471722564354,0.7079512837144869,0.4060743212819601,0.895632782315894,0.6417666712528471,0.7199417187515371,0.6550401833664283,0.6082740979475775,0.4613878618731977,0.5044039751257328,0.9397284387370931,0.7487517380564169,0.6405326354841974,0.7748397993862313,0.5977451940194652,0.5926267377206831,0.6114949280310336,0.5254705964654176,0.4421834969625106
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.5996622202847137,0.5263431325418362,0.597019934763966,0.6463226720194764,0.7903129344626056,0.8215237425612936,0.6197573991287243,0.7054259910736409,0.6543360982798014,0.0,0.5659801420579784,0.7792267424335604,0.6464132365371823,0.4513184094179452,0.3217088289334632,0.8359941623641388,0.6335574460446585,0.5535322673238623,0.5794080541256471,0.7613700156284195,0.801273775323526,0.8640197975053512,0.6861671880838329,0.7269185922914241,0.7664692580557603,0.3963261205932903,0.8210215600109476,0.6118916287711249,0.9272047060646207,0.7870881033789427,0.7797816626079195,0.28230886660686694,0.599997691150974,0.5778166786988006,0.4622048767843011,0.9094165720816723,0.703574195974422,0.562121185398326,0.34411158473992975,0.7007463417174087,0.6698107978415209,0.6017072994201599,0.7176960571423185,0.6925571972765501
