,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,1.7008616737257398e-13,0.48100401199786413,0.5782220207435049,0.6779460787531926,0.6034260682224926,0.6117480626209412,0.7109714931980187,0.6180033735570872,0.5530265289761098,0.669868658654061,0.6387838689667396,0.5354864983112004,0.7777391344924964,0.687735024939878,0.5863779471335586,0.7944912747977704,0.8255538442481904,0.7029587282341384,0.596793790077412,0.7282640736314708,0.5716010706600213,0.6588441605012888,0.5036578396755216,0.5925063608470463,0.7609413353774052,0.7753097495852393,0.6904676253793283,0.6764904603119968,0.8693279435001647,0.546535373762276,0.725024637035681,0.6760344658485817,0.7674555580386786,0.8691285836505196,0.5789163894512771,0.8378472550208748,0.7233619444796124,0.8018170207373868,0.7273241883351541,0.7775725618668512,0.7206742706559007,0.6257509375129608,0.6741385970847058,0.8502559811935892,0.6901954689942671,0.645888936577151,0.8927527410440378,0.5605072138746454,0.4497616619277791,0.4690097389891631,0.7812104461377187,0.8235093343952229,0.5364808222982679,0.6194467469078382,0.5980141717755689,0.6390705693106412,0.7649262381131949,0.48757958925032574,0.7180496162091596,0.7362317424845766,0.5936383288323822,0.7189844257707623
Breta sǫgur-AM 573 4to,0.48100401199786413,9.625633623500107e-14,0.49400462392521327,0.6361808692655184,0.55336607006866,0.5347838541872969,0.6460461131721661,0.5331260189108773,0.42247583938628885,0.5869489019371275,0.534136150643745,0.4806176231440161,0.7162002296093957,0.6097474723619742,0.49077300960027537,0.7472592930628489,0.7755684666223863,0.6131708697004933,0.5182317132497294,0.6576552615101663,0.4821512569556359,0.5940272491741051,0.354510001684176,0.4721837320206971,0.7060926593401599,0.7074247464457981,0.6079048330950534,0.5897708009358316,0.8374742879793486,0.4154059787173796,0.6750650802099476,0.6027176185732154,0.7014019455835846,0.8496281779491858,0.4752755959472934,0.7890102850588034,0.6553007960555295,0.7393270359936694,0.675003898287946,0.7119186418142305,0.6616621762516841,0.5382634937455918,0.5979924707765389,0.8213512096368993,0.596678068086554,0.5471901361650041,0.8562893712720127,0.414024110769717,0.3103359352631545,0.2987724095216211,0.7270421141588719,0.7697666507889729,0.3848092270298987,0.5120695677650963,0.5038380954750081,0.547503330406381,0.717333278327773,0.38002672220999756,0.7088380863667874,0.6490223087392949,0.49578922645172296,0.6624473451291695
Karls þáttr vesæla-AM 557 4to,0.5782220207435049,0.49400462392521327,0.0,0.6760577601927336,0.6254258705711401,0.6008062251115338,0.7255893491636667,0.6137226293096283,0.5401679659841728,0.6707811769948243,0.6267269079940507,0.5669266040842051,0.7725266736675367,0.6783223701558244,0.5933116768109379,0.7924115060433645,0.8480469686247187,0.7169588893517038,0.6402351229574691,0.7199924886780226,0.5804114757555705,0.6754486983532649,0.5256412174205278,0.5832559490402452,0.7771112491922385,0.7736641037760343,0.7020241212865539,0.6678717660899758,0.8814807286744276,0.5324776872629029,0.7310440826476826,0.7007707118583983,0.7751776429494539,0.8640615793500598,0.5927528639018738,0.8355007282812059,0.738473252426483,0.8118547354092583,0.7472942969742474,0.7654306261367434,0.7260524785335323,0.6505426518103027,0.6902776555020507,0.8544394653059691,0.6959939629777568,0.6555163444911618,0.9013497208043977,0.5756505451054148,0.4669643677529518,0.4528497050947715,0.7661180699048795,0.8278327820070934,0.5591062552739268,0.5963811001561843,0.6002563393064839,0.6253604976424132,0.783542930300779,0.506052585621714,0.6917368951477425,0.7400420795687613,0.6069625790223498,0.7194483259856149
Hróa þáttr heimska-AM 557 4to,0.6779460787531926,0.6361808692655184,0.6760577601927336,0.0,0.71642395033231,0.6967102644460301,0.7888158213889447,0.7122823181843416,0.6701793127153665,0.7658382990799537,0.7297242457683998,0.6749239638621392,0.8431639662176136,0.7662734161521398,0.711310868032544,0.8645483594297814,0.8876718218559447,0.7905028493121831,0.747419512299851,0.8116369896204736,0.6850219954229806,0.7484703147341436,0.6576262590164377,0.6977612528734747,0.8438916519842452,0.8481062628918729,0.7767354793449903,0.7504657174914565,0.9065972711832129,0.6564823916552348,0.8096065899328382,0.765453729826475,0.8415757380425413,0.8977340846613375,0.7070975317348565,0.8802215294476023,0.7929588922249301,0.8704571000247807,0.8072379903931945,0.8244652669868519,0.8015055086303717,0.7253051927129608,0.7634270463807513,0.8947763810179606,0.7765656958025491,0.7574461286560337,0.9339164475298396,0.6962705161817682,0.6188861546776181,0.5991811762905459,0.8218655801232034,0.8740291265824383,0.6754099645379594,0.7141318634353664,0.6940780383539996,0.7240023699176106,0.8384216190141851,0.6582866915577528,0.7679543674838218,0.8133166951944695,0.6951062558315932,0.7831617530066506
Theta-fragment of Egils saga-AM 162 A θ fol.,0.6034260682224926,0.55336607006866,0.6254258705711401,0.71642395033231,1.3100631690576847e-14,0.6441295881211522,0.7575669984285659,0.6403058282456049,0.5910681482226032,0.6970368185923321,0.6654405133733257,0.6165163845344134,0.8099482656409425,0.7257232948588019,0.6484219053712004,0.8192861524222372,0.8597861563771404,0.7453702203208119,0.6782469324337026,0.76206517859207,0.6440149730992277,0.7256680146323425,0.555185780724349,0.6337611927313431,0.7989722001997082,0.8014258011877085,0.7360468287235478,0.6894332816469066,0.885833181187624,0.5831032516685211,0.7783769696214231,0.7399158435329332,0.8042431318047141,0.8792854264675168,0.5348063007610803,0.8424123638623644,0.7572555015110574,0.8340277297499142,0.7666733942324608,0.7959455223271632,0.7629963199000992,0.6979306172359414,0.7343192367628888,0.8810835789262297,0.740815993750179,0.7068151993758245,0.9163748301786325,0.6270537821776232,0.4276131549412242,0.5063839237857992,0.7839115762290578,0.848083392332057,0.60053646206835,0.632878719174284,0.6431366872698854,0.6509677149195627,0.8089330266642762,0.5690079701568397,0.7572106004753155,0.7712715934424274,0.6597026432707511,0.7511779285605346
Pamphilus saga-DG 4-7,0.6117480626209412,0.5347838541872969,0.6008062251115338,0.6967102644460301,0.6441295881211522,4.6851411639181606e-14,0.7327557050461079,0.6281016852536898,0.5042120610020914,0.7227798372567076,0.648242499152696,0.6195059746755807,0.8153621281313407,0.6923015468956655,0.6488617396456181,0.8454723277770746,0.8644146893655491,0.7379076128971656,0.6951204610395316,0.7639450247273651,0.644518727556709,0.7041227044896488,0.6084595673609081,0.6199602592756914,0.7608812721989179,0.8176389571212817,0.7179619188494712,0.6696371770877374,0.8709884708358632,0.5617428883121193,0.7597723314906508,0.7243441629729344,0.7606205065494759,0.8411068342368732,0.6717284428114575,0.8309354481973823,0.7328520993747349,0.804167387525172,0.7580141630172342,0.7979381366149452,0.7431763055396448,0.6758861060800663,0.7101524217037805,0.8778848850299881,0.714080053635755,0.6846718775280354,0.9012465043682054,0.5936182178522892,0.5422899017532231,0.46820681750026183,0.7400367357505744,0.8215644947680658,0.588362137920559,0.5950594281923035,0.6356885770016507,0.594191657915832,0.7991456464168635,0.5781072544609183,0.7415336921008443,0.7279969541764673,0.6289959473527005,0.7379269059219628
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.7109714931980187,0.6460461131721661,0.7255893491636667,0.7888158213889447,0.7575669984285659,0.7327557050461079,0.0,0.4997578470919395,0.6866275665165696,0.7880941430481082,0.7499599250091841,0.717544599515564,0.8463988781169168,0.7884012523116624,0.7394842334113148,0.8712193206109454,0.879802988892156,0.7941132372411763,0.7500021645079474,0.8371910135614151,0.7203770087716508,0.523670395668153,0.6672431084419916,0.7199425481826318,0.8535209337221139,0.8488914808307148,0.7866352933058017,0.7713667359819008,0.9071639708538477,0.6859897702922754,0.8287762784942682,0.5230837384232132,0.8444026960720526,0.9131400672688585,0.7276892382179652,0.890425775923789,0.823210310236104,0.8620804430881157,0.8191606511229286,0.8476556597430399,0.8200754009578924,0.48773493527573897,0.529311669964784,0.9058449502248621,0.7891811789196987,0.7593081627446866,0.9255771961670624,0.7068174615321845,0.6440039098387653,0.624497069119228,0.8569773706845274,0.8719380448494499,0.6755241581152269,0.7490766648070509,0.7319390949105649,0.7548282111250088,0.8549669665770623,0.6702490635704373,0.834132069694256,0.8148942779691191,0.44652799251817465,0.6048297387781788
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.6180033735570872,0.5331260189108773,0.6137226293096283,0.7122823181843416,0.6403058282456049,0.6281016852536898,0.4997578470919395,0.0,0.5526836347599906,0.7096602210025871,0.645517879057906,0.6168983733645885,0.7984045365630935,0.7166506178660408,0.6541585690652558,0.8357022203310652,0.8480234418784232,0.7222228253421864,0.669670946982116,0.7885894778805989,0.6312259284447372,0.4482223652612952,0.570402058026209,0.6166472280450073,0.8109821457762314,0.7987587608364564,0.7133786132542328,0.6685065615887322,0.890260977889841,0.5626647989944391,0.7730723234384786,0.47238022299065807,0.7940190716313658,0.8779400757031153,0.6182102227102911,0.8459355136687621,0.7711297092733331,0.8166544846384589,0.7645243979102658,0.7862462357510812,0.7611825379607584,0.3724946101061237,0.4426798560640063,0.879434827250482,0.7205810542701504,0.6898677179854199,0.904326540653533,0.6148107671099851,0.5122452403299205,0.4684913133188032,0.7930078278466626,0.8207526610151299,0.5722027299565157,0.6401744539090504,0.6297121211510621,0.6438126027064901,0.8188848586920968,0.5718086281679978,0.7654501836545003,0.752367629612641,0.30564275210414527,0.48009045598254296
Old Norwegian Homily Book-AM 619 4to,0.5530265289761098,0.42247583938628885,0.5401679659841728,0.6701793127153665,0.5910681482226032,0.5042120610020914,0.6866275665165696,0.5526836347599906,0.0,0.6442482012662263,0.5009798791249418,0.5436897094621086,0.7642650798134001,0.6583968488215027,0.5620628447966602,0.8090913233306187,0.8124351190692084,0.6293677232326746,0.5892344253940784,0.6787822183160219,0.5719550486223866,0.6487946454309559,0.47766412758755084,0.46705575188521165,0.7080743650864008,0.7568759840274957,0.6538333622566432,0.536359379942894,0.8533452374989879,0.38860891692586297,0.6872697363766513,0.6651441826495045,0.7176275032809594,0.8315407996758375,0.5673837707180551,0.7684286673266072,0.6955742425499734,0.7485222158646672,0.7254447140709568,0.7515779465993595,0.7100959459020877,0.6014802136829898,0.6421006695932483,0.8495448782991725,0.6562010768441849,0.618687424798309,0.8621070182109322,0.5191554517543268,0.43077684877463096,0.31728194188634495,0.6797225843014483,0.7625078066430112,0.44806593179318444,0.4880711904966307,0.5477135793846306,0.5016730717813582,0.7755217697463074,0.4860534625320204,0.7232105480068005,0.6621891015002757,0.54926622145818,0.6756362532521528
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,0.669868658654061,0.5869489019371275,0.6707811769948243,0.7658382990799537,0.6970368185923321,0.7227798372567076,0.7880941430481082,0.7096602210025871,0.6442482012662263,0.0,0.6830632194156222,0.663998622184973,0.8270752808779486,0.7660795609650717,0.6598157989952277,0.8190469775195122,0.8623824726811775,0.7588983783289158,0.701691111657034,0.7761466670905063,0.6765692042963035,0.7455476457043633,0.5740773962114794,0.6619442674294067,0.8155452376263901,0.8027521572051332,0.7532113582859266,0.7322586312840299,0.8998831421640981,0.6232834265851512,0.7952836705555008,0.7664988058998443,0.8302453594919471,0.9110499329510171,0.6528299002196423,0.8622479993668106,0.790474473330125,0.8482373490630764,0.7946822952430482,0.8152811895574218,0.7771572487558275,0.7234378100347683,0.7600648097416286,0.8943944751792294,0.75922467086781,0.722569066216144,0.9212351713349726,0.658799748885349,0.5231405921213393,0.5476385352645338,0.8318884762077419,0.8671926548335261,0.6390249963876058,0.6832068883922311,0.6762386126445679,0.6924935057556518,0.8093924754637181,0.6208245170585311,0.783863507448044,0.7968173212405505,0.6953923098069805,0.7858516877487509
