,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,Barlaams ok Josaphats saga-Holm perg 6 fol,Strengleikar-DG 4–7,Hrafns saga Sveinbjarnarsonar-AM 557 4to,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,Dámusta saga-AM 557 4to,Óláfs saga ins helga (legendary version)-DG 8 II,Gregory’s Dialogues-AM 677 4to,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,5.440092820663267e-15,0.20359410408019152,0.25624123376506724,0.37420712495792885,0.338282905275505,0.42995212041876085,0.32550867423028074,0.21607531277479608,0.19234337267178514,0.2369835999315918,0.167556351060952,0.5387628400433815,0.37198845931883795,0.23534665435501134,0.26728248658498743,0.272784024378636,0.26921694387448125,0.16574517333020833,0.19884797175186442,0.3385417605370531,0.357714827045293,0.5002930339641616,0.6650210370635863,0.306199905613593,0.4175396735528343,0.39314961976293994,0.20558386655634953,0.1476851509567918,0.6533575238920166,0.22611879964671255,0.35839145648482684,0.27092059680837977,0.276335357694644,0.14331046071448894,0.231214181385894,0.6200185570027305,0.3074551434289923,0.2763005783965574,0.21844746395230263,0.28311679323759964,0.18569519427356784,0.4334889629591594,0.15320595967783812,0.3255689657137396
Breta sǫgur-AM 573 4to,0.20359410408019152,0.0,0.26162628180542724,0.4061776963466247,0.3003801974577822,0.4043006413775284,0.3141725842429448,0.23697768362435134,0.21516231537775565,0.18575670418603596,0.19530157658536473,0.5114958530236893,0.352825402747704,0.16809533765929952,0.21676014471418992,0.26605072629706905,0.2696198325902901,0.2004801406416704,0.16286013455885429,0.2990342732262785,0.3357579002053015,0.46521378133528024,0.6496320827658137,0.28463144390722517,0.42565840920784226,0.33834476194482044,0.21282202919184579,0.15244958526649788,0.6518712725587853,0.23227946716199233,0.32664002682283766,0.2266944477030709,0.202344795375482,0.12081718534734187,0.15486004362404415,0.5956238023433664,0.26456155870348685,0.27950837037455534,0.19024939696060794,0.24166937516078357,0.1796535862136388,0.4852988835533395,0.1673698698830035,0.34031237061899133
Karls þáttr vesæla-AM 557 4to,0.25624123376506724,0.26162628180542724,0.0,0.4038866925250394,0.3799384947888298,0.43517450800719615,0.3773742063145641,0.30352377371218575,0.23961377912221415,0.3046500938419937,0.23620721856539595,0.55446421952824,0.40809363173304614,0.2996845107141317,0.3416513627889807,0.3270754047669906,0.33239377640623924,0.24914235589918765,0.264589687826552,0.36876475234295314,0.3844362622142967,0.5541076653647776,0.6988951947983877,0.32437576952217884,0.47108250612189384,0.4242148312477807,0.28306522658636823,0.2240177614881138,0.6787036182208508,0.2840737656029473,0.3824546126152838,0.3032051461171247,0.33664468839617323,0.20712153670378497,0.2644536214130694,0.6461457903386292,0.36190999587174355,0.3135426759004115,0.2721710806276215,0.3243073908136769,0.24580786988170278,0.4512738467820918,0.22040339815941679,0.3575979629001935
Hróa þáttr heimska-AM 557 4to,0.37420712495792885,0.4061776963466247,0.4038866925250394,3.4416913763379853e-15,0.4948614412669682,0.5388282316797608,0.4723899524477785,0.4204710075615262,0.3604018397053227,0.4390322188775171,0.3592086326402695,0.6589477673022393,0.500464846347583,0.4349691038156349,0.469377235014226,0.4565564988986889,0.4370558081520176,0.3762856547255201,0.4064471778332215,0.4804788816995865,0.48733913378999183,0.6587443468601901,0.740264304406721,0.43654323994040445,0.5551443691310808,0.5347419200711394,0.41603982323803135,0.36626695709689794,0.7373692942372786,0.4147925542723334,0.49324126252278944,0.434378202983451,0.46328038684969397,0.3557714738958231,0.40438764701299146,0.7140935536803162,0.4833521830056018,0.42505236449620687,0.41223238797501305,0.45178747554133647,0.39685239057612565,0.525662023297361,0.3470149666693717,0.45950087517743265
Old Norwegian Homily Book-AM 619 4to,0.338282905275505,0.3003801974577822,0.3799384947888298,0.4948614412669682,0.0,0.3849430039290569,0.4001888668832432,0.3900080854444977,0.3533294653674284,0.35180132923539487,0.332011629578144,0.6063483439540334,0.48204999294449247,0.25873109408958317,0.36988717906759405,0.3669583745835512,0.4062728443964676,0.342225933974459,0.31652943495008845,0.2665510664357523,0.4121202958662402,0.5521077273081139,0.707884036908315,0.3576599864250255,0.4718934408475086,0.4318248079161454,0.36505570813477317,0.32168248558290014,0.6335611254620597,0.36339300772068583,0.26912930934093293,0.3244078330268241,0.36163306075177126,0.28403328979831766,0.2948986970617038,0.6465976868826805,0.3557649207900736,0.3930053173284662,0.3256606012980575,0.2844571092602777,0.3260948288027563,0.54906500753876,0.31811077959696177,0.4376198911476309
Prosper’s Epigrams-AM 677 4to,0.42995212041876085,0.4043006413775284,0.43517450800719615,0.5388282316797608,0.3849430039290569,0.0,0.47170886915193433,0.47411842433651363,0.3746522543251435,0.45085663418181665,0.38731329285112426,0.6712310003512951,0.5579606775138364,0.3871213941751426,0.4646537487270642,0.4519701566302561,0.50090451919937,0.40572444136645214,0.3844243759044347,0.2711017736866087,0.43736146216828664,0.6328773924157327,0.7293987882786435,0.36506423668092614,0.5909133431339496,0.4683741147744974,0.45023238886804173,0.38518357551108007,0.6309790693455755,0.4190219732822761,0.31373018115816786,0.32579318222699427,0.4672970964710439,0.35905162184444006,0.29569298961093504,0.6649884813444034,0.44743174978690503,0.42492621278752196,0.39099230996569456,0.278384303532469,0.4193409263065807,0.5485328438744094,0.3579778171903827,0.43779097983916093
Pamphilus saga-DG 4-7,0.32550867423028074,0.3141725842429448,0.3773742063145641,0.4723899524477785,0.4001888668832432,0.47170886915193433,0.0,0.375963021806337,0.3172234678684801,0.3407862375493499,0.3255742706148269,0.6198776786180686,0.46332357471178165,0.3089230394605321,0.36490273006213636,0.40694325160201195,0.39607432656794084,0.33153123481393143,0.3482716962804119,0.3791940296288253,0.4456566227963882,0.5742609944352659,0.709098660918167,0.4012028697951189,0.5139565604645231,0.4551097607786029,0.3663940165216806,0.30231115222109406,0.6882004210301962,0.365739444943472,0.3852495591436107,0.35115924065820037,0.3703982960108848,0.2959982566263055,0.31099521414139764,0.6573988088879238,0.40751859012783576,0.38984670221469697,0.33906421981922596,0.36441075565704983,0.3360205503402416,0.534928229517677,0.294542259249608,0.44335913842256314
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.21607531277479608,0.23697768362435134,0.30352377371218575,0.4204710075615262,0.3900080854444977,0.47411842433651363,0.375963021806337,0.0,0.21052593124798769,0.2669827053197459,0.20726028097312876,0.5493949615271311,0.4170242985276956,0.2931988533573966,0.3060276420084759,0.303346476928153,0.29118364522337403,0.16399644119621704,0.2411587945227237,0.347159340681122,0.38522172579693903,0.5073863052824485,0.6706298333327654,0.34415198964054294,0.4549634504510316,0.4268890647016145,0.19579674309723882,0.1559953087364726,0.6745742295009658,0.24006314230349757,0.40978216494382913,0.32416667336496163,0.2995158608132088,0.1660761529686915,0.24290434159154073,0.647702881763744,0.3525847477094328,0.3440689144491368,0.25160976816454306,0.29319076691069335,0.21553293294041198,0.48522900160975757,0.1619874189633268,0.3431153852910279
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.19234337267178514,0.21516231537775565,0.23961377912221415,0.3604018397053227,0.3533294653674284,0.3746522543251435,0.3172234678684801,0.21052593124798769,5.1736392947532295e-14,0.24232083375187485,0.1682331825454294,0.5332489991124769,0.3741627581083755,0.27111783741861495,0.2927265188175203,0.2977355787777475,0.27831920285451495,0.16174524273621205,0.21777344852180025,0.29614311381367475,0.35891046567690765,0.5335689336632687,0.6654000392595998,0.29367333664126294,0.4329521150628085,0.3728338085855508,0.20357232738259934,0.1249140521449299,0.6433147922040727,0.19392585585221622,0.3374235962203518,0.24476191516461498,0.2951835789497005,0.14879942433294446,0.1764409372516349,0.6206949122734396,0.3231627506259023,0.26001796100500374,0.20839361358687258,0.2541578946813845,0.19880580357765154,0.4185905466758034,0.10631113005604209,0.2728009109949273
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.2369835999315918,0.18575670418603596,0.3046500938419937,0.4390322188775171,0.35180132923539487,0.45085663418181665,0.3407862375493499,0.2669827053197459,0.24232083375187485,0.0,0.2399958443802026,0.5390361045801642,0.37458718065033303,0.1674090199484296,0.10233215072917812,0.3280739342500125,0.3140601675631256,0.22524146531085265,0.2294342459092542,0.3535920613469924,0.3628148529605637,0.48385334542353087,0.6060296376645056,0.318756159718773,0.4572713255442158,0.23890132981560508,0.24941028583679992,0.19029853285846376,0.6755477477266897,0.26597956574638415,0.3855557882595205,0.15627016346379063,0.25317728339722667,0.17611945052545452,0.2124820359902757,0.6143150282368649,0.32811759362245807,0.3364545162560644,0.08952127333624149,0.29988056894583137,0.22766441486551436,0.5083888758928592,0.2000592412110458,0.3886830785607558
